source_row	gene_symbol	source_genetic_defect	disease	inheritance	mechanism	is_dominant	is_recessive	is_x_linked	omim	major_category	subcategory
299	MCTS1	MCTS1	MCTS1 deficiency	XL		false	false	true	301115	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)
300	MECOM	MECOM	EVI1, MECOM deficiency	AD		true	false	false		Table 9 Bone marrow failure	
301	MEFV	MEFV	Familial Mediterranean fever	AR		false	true	false	249100	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome
302	MEFV	MEFV	Familial Mediterranean fever	AD		true	false	false	249100	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome
303	MOGS	MOGS (GCS1)	Mannosyl-oligosaccharide glucosidase deficiency (MOGS)	AR		false	true	false	601336	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype
304	MRTFA	MRTFA	Neutropenia with combined immune deficiency due to MKL1 deficiency	AR		false	true	false	606078	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility
305	MSH6	MSH6	MSH6	AR		false	true	false	600678	Table 3 Predominantly Antibody Deficiencies	Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM
306	MSN	MSN	Moesin deficiency	XL		false	false	true	300988	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
307	MTHFD1	MTHFD1	Methylene-tetrahydrofolate dehydrogenase 1 (MTHFD1) deficiency	AR		false	true	false	172460	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 6 Defects of Vitamin B12 and Folate Metabolism
308	MVK	MVK	Mevalonate kinase deficiency (Hyper IgD syndrome)	AR		false	true	false	260920	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome
309	MYD88	MYD88	MyD88 deficiency	AR		false	true	false	602170	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility
310	MYSM1	MYSM1	MYSM1 deficiency	AR		false	true	false	612176	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 4 Immuno-osseous Dysplasias
311	NBAS	NBAS	Acute liver failure due to NBAS deficiency	AR		false	true	false	608025	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues
312	NBEAL2	NBEAL2	NBEAL2 deficiency	AR		false	true	false	139090	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects
313	NBN	NBN	Nijmegen breakage syndrome	AR		false	true	false	602667	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1
314	NCF1	NCF1	Autosomal recessive CGD p47phox	AR		false	true	false	608512	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst
315	NCF2	NCF2	Autosomal recessive CGD p67phox	AR		false	true	false	608515	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst
316	NCF4	NCF4	Autosomal recessive CGD p40phox	AR		false	true	false	601488	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst
317	NCKAP1L	NCKAPIL	HEM1 (NCKAPIL) deficiency	AR		false	true	false		Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions
318	NCSTN	NCSTN	NCSTN deficiency hidradenitis suppurativa	AD		true	false	false	605254	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues
319	NFAT5	NFAT5	NFAT5 haploinsufficiency	AD		true	false	false	604708	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis
320	NFATC1	NFATC1	NFATC1 deficiency	AR		false	true	false		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
321	NFATC2	NFATC2	NFAT1 deficiency	AR		false	true	false	620232	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation
322	NFE2L2	NFE2L2	NFE2L2 GOF	AD		true	false	false	617744	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features
323	NFKB1	NFKB1	NFKB1 deficiency	AD		true	false	false	164011	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype
324	NFKB2	NFKB2	NFKB2 deficiency	AD		true	false	false	615577	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype
